shortcode,permalink,media_id,media_type,kind
DVeTxJEDnKP,https://www.instagram.com/reel/DVeTxJEDnKP/,18059779787689235,VIDEO,video
CX_Z-pwhDet,https://www.instagram.com/reel/CX_Z-pwhDet/,17921591744097725,VIDEO,video
CRBdst5I1Go,https://www.instagram.com/reel/CRBdst5I1Go/,17974617931401732,VIDEO,video
C_h4W91NBFA,https://www.instagram.com/p/C_h4W91NBFA/,18049999210848864,CAROUSEL_ALBUM,image
DDCLiPBtkCS,https://www.instagram.com/p/DDCLiPBtkCS/,18001722662697645,CAROUSEL_ALBUM,image
DN0pHlp0EQf,https://www.instagram.com/p/DN0pHlp0EQf/,17851678521485721,CAROUSEL_ALBUM,image
CSjPl6KLiZg,https://www.instagram.com/p/CSjPl6KLiZg/,18165300700086358,IMAGE,image
CSb0W8EIG1L,https://www.instagram.com/p/CSb0W8EIG1L/,18100436473253383,IMAGE,image
CEBpzIoiZNL,https://www.instagram.com/p/CEBpzIoiZNL/,17849576549282759,IMAGE,image
CD8taKdCaQx,https://www.instagram.com/p/CD8taKdCaQx/,17876876548769533,IMAGE,image
CDIovyNiun5,https://www.instagram.com/p/CDIovyNiun5/,17855022632108578,IMAGE,image
CBvPwhVCAyK,https://www.instagram.com/p/CBvPwhVCAyK/,18014687797303344,IMAGE,image
CBSlfn8idUS,https://www.instagram.com/p/CBSlfn8idUS/,18103274695148420,IMAGE,image
CAuuSnEiFxJ,https://www.instagram.com/p/CAuuSnEiFxJ/,17963949202315849,IMAGE,image
B8_RQyRoEVf,https://www.instagram.com/p/B8_RQyRoEVf/,17897111104453030,CAROUSEL_ALBUM,image
BzTpeGpId2r,https://www.instagram.com/p/BzTpeGpId2r/,17920619689307437,IMAGE,image
Bta3MIKA5d1,https://www.instagram.com/p/Bta3MIKA5d1/,17999302996180096,IMAGE,image
BefmBU1gZUQ,https://www.instagram.com/p/BefmBU1gZUQ/,17915996344069231,IMAGE,image
Bd7pnFYALzE,https://www.instagram.com/p/Bd7pnFYALzE/,17903782513124853,IMAGE,image
BdiKP21gE7n,https://www.instagram.com/p/BdiKP21gE7n/,17919335761011623,IMAGE,image
BbbrmavArgS,https://www.instagram.com/p/BbbrmavArgS/,17880994852152492,IMAGE,image
BT6I7L0AYNF,https://www.instagram.com/p/BT6I7L0AYNF/,17880269101044263,IMAGE,image
BS87qEOAYKw,https://www.instagram.com/p/BS87qEOAYKw/,17878373251042325,IMAGE,image
BNMPmIiDTkx,https://www.instagram.com/p/BNMPmIiDTkx/,17844695599144026,IMAGE,image
