month,observed_neg_rate,counterfactual_neg_rate,att_gap
2022-01,0.0434,0.0434,0.0
2022-02,0.0162,0.0162,0.0
2022-03,0.0646,0.0646,0.0
2022-04,0.0719,0.0719,0.0
2022-05,0.0347,0.0347,0.0
2022-06,0.0195,0.0195,0.0
2022-07,0.0464,0.0464,0.0
2022-08,0.0233,0.0233,0.0
2022-09,0.0219,0.0219,0.0
2022-10,0.0932,0.0932,0.0
2022-11,0.0529,0.0529,0.0
2022-12,0.0898,0.0898,0.0
2023-01,0.0394,0.0394,0.0
2023-02,0.0319,0.0319,0.0
2023-03,0.0534,0.0534,0.0
2023-04,0.0452,0.0452,0.0
2023-05,0.01,0.01,0.0
2023-06,0.0581,0.0581,0.0
2023-07,0.0128,0.0128,0.0
2023-08,0.0718,0.0718,0.0
2023-09,0.043,0.043,0.0
2023-10,0.1014,0.1014,0.0
2023-11,0.036,0.036,0.0
2023-12,0.0718,0.0718,0.0
2024-01,0.1221,0.0938,0.0283
2024-02,0.0609,0.0576,0.0033
2024-03,0.0407,0.0375,0.0032
2024-04,0.0187,0.0185,0.0001
2024-05,0.0641,0.0642,-0.0001
2024-06,0.0577,0.0577,-0.0
2024-07,0.0468,0.0468,-0.0
2024-08,0.0715,0.0716,-0.0
2024-09,0.0636,0.0638,-0.0002
2024-10,0.0635,0.0635,0.0
2024-11,0.0681,0.0681,0.0
2024-12,0.0724,0.0724,0.0
2025-01,0.028,0.028,0.0
2025-02,0.1575,0.1575,0.0
2025-03,0.104,0.104,0.0
2025-04,0.0604,0.0604,0.0
2025-05,0.068,0.068,0.0
2025-06,0.0847,0.0847,0.0
2025-07,0.0816,0.0816,0.0
2025-08,0.0816,0.0816,0.0
2025-09,0.0592,0.0432,0.016
2025-10,0.1778,0.1238,0.054
2025-11,0.1015,0.0655,0.0361
2025-12,0.0249,0.0249,-0.0
2026-01,0.0849,0.0849,-0.0
2026-02,0.1119,0.1119,-0.0001
2026-03,0.0854,0.0854,0.0
