author_id,comments,toxic,severe,negative,toxic_rate_%
17841401147950242,21439,94,6,1304,0.4
1593117128649999,177,31,12,40,17.5
None,1173,14,1,72,1.2
964009389657151,26,10,3,15,38.5
1457817975748365,12,9,0,9,75.0
26464850323139204,9,8,6,9,88.9
4397128203901426,12,8,2,9,66.7
1983056615582082,10,8,1,10,80.0
3266821840166077,15,8,1,10,53.3
1548495633951246,457,8,0,39,1.8
1708535930278856,16,7,4,9,43.8
1700018537829060,8,7,0,8,87.5
941320635502920,216,6,1,22,2.8
2125957954609842,15,6,0,6,40.0
793664317118707,31,6,0,7,19.4
1014203768446385,5,5,1,5,100.0
1451110533467731,6,5,1,5,83.3
1176036054470190,7,5,0,5,71.4
1246967717550345,11,5,0,7,45.5
1413159100559685,8,5,0,5,62.5
