milestone,intervention_date,intervention_type,post_window,naive_cumulative_excess,naive_relative_lift,its_level_jump,its_level_p,its_slope_chg,its_slope_p,its_nobs,its_level_q,its_level_sig
Autumn Tour Expansion,2025-03-27,occurrence,14,448.0,2.1342,0.75879,0.0646,-0.05263,1e-05,119,0.12332727272727273,False
Autumn Tour Re-ignition,2025-10-19,occurrence,14,3080.0,8.7975,2.81456,0.0,-0.05884,0.00144,119,0.0,True
Avanguardia Pura Tour,2024-06-14,announcement,14,1357.0,4.0089,0.392,0.32765,-0.05149,0.0081,119,0.430040625,False
Avanguardia Pura Tour,2025-01-12,occurrence,14,31.0,1.0749,0.71842,0.10812,0.00164,0.89037,119,0.18921,False
Avanguardia Ticket Sales,2024-06-19,occurrence,14,1048.0,3.3604,-0.27315,0.50519,-0.02382,0.20494,119,0.5893883333333334,False
Etna Comics 2025,2025-04-10,announcement,14,421.0,2.0319,-0.96031,0.01553,0.04958,0.0447,119,0.04351666666666667,True
Etna Comics 2025,2025-04-10,occurrence,14,421.0,2.0319,-0.96031,0.01553,0.04958,0.0447,119,0.04351666666666667,True
Macchianera Award,2019-11-05,occurrence,14,2028.0,3.1059,0.5239,0.36504,-0.04022,0.35508,119,0.4509317647058823,False
Media Breakup Confirmation,2025-02-24,occurrence,14,495.0,2.2595,0.45331,0.27659,-0.03499,0.09118,119,0.387226,False
Nella MIA Cucina Rai2,2019-09-12,announcement,14,3963.0,4.8891,1.1562,0.00486,-0.10611,0.0,119,0.025515,True
Nella MIA Cucina Rai2,2019-09-16,occurrence,14,1883.0,2.8868,0.16027,0.70432,-0.04736,0.12559,119,0.739536,False
Novel Pre-Order,2021-03-09,announcement,14,2676.0,2.7594,1.24604,0.01865,-0.02529,0.35283,119,0.04351666666666667,True
Novel Pre-Order,2021-04-20,occurrence,14,1053.0,1.6983,0.97114,0.12606,-0.06305,0.02625,119,0.2036353846153846,False
Pink Different FoxLife,2017-11-13,announcement,14,359.0,2.8601,0.63814,0.13671,-0.01019,0.70248,119,0.205065,False
Rai Radio2 Broadcast,2017-09-15,occurrence,14,190.0,2.0615,-1.01899,0.00162,0.08841,0.0,119,0.01701,True
Solo Tour Launch,2023-04-15,occurrence,14,883.0,1.9275,1.06893,0.01747,-0.04335,0.01062,119,0.04351666666666667,True
Solo Tour Launch,2023-07-03,announcement,14,-127.0,0.8696,-1.32531,0.01662,0.07457,0.00086,119,0.04351666666666667,True
TEDxRimini 2019,2019-11-20,announcement,14,302.0,1.2801,-1.83768,0.00407,0.10529,6e-05,119,0.025515,True
TEDxRimini 2019,2019-12-14,occurrence,14,1996.0,3.0347,1.27478,0.02442,-0.04335,0.04271,119,0.051282,False
The Traitors Italia S2,2025-11-07,announcement,14,857.0,3.1807,-0.29898,0.618,-0.03028,0.06752,119,0.6830526315789474,False
Tutte le volte Podcast,2022-01-19,announcement,14,1529.0,2.2301,-0.29765,0.75258,0.01978,0.69443,119,0.75258,False
