milestone,intervention_date,post_window,lookback,status,n_pre,model_order,aic,cumulative_excess,peak_excess_log,day_of_peak,relative_lift,point_significance,intervention_type,new_post_coincidence,inseparable_14d,majority_above_pi,strong_lift
Pink Different FoxLife,2017-11-13,7,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",607.24,107.0,1.96,0,1.8422,0.0,announcement,True,False,False,True
Pink Different FoxLife,2017-11-13,14,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",607.24,301.4,1.96,0,2.2031,0.0,announcement,True,False,False,True
Pink Different FoxLife,2017-11-13,28,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",607.24,1609.3,4.1297,14,4.253,0.0357,announcement,True,False,False,True
Pink Different FoxLife,2017-11-13,7,365,ok,365,"(1, 1, 2)x(1, 0, 1, 7)",1244.62,115.8,1.7401,0,1.98,0.0,announcement,True,False,False,True
Pink Different FoxLife,2017-11-13,14,365,ok,365,"(1, 1, 2)x(1, 0, 1, 7)",1244.62,314.7,1.7401,0,2.3259,0.0,announcement,True,False,False,True
Pink Different FoxLife,2017-11-13,28,365,ok,365,"(1, 1, 2)x(1, 0, 1, 7)",1244.62,1628.9,4.0243,14,4.4281,0.0357,announcement,True,False,False,True
Nella MIA Cucina Rai2,2019-09-12,7,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",625.02,3401.5,2.9405,3,6.3523,0.1429,announcement,True,True,False,True
Nella MIA Cucina Rai2,2019-09-12,14,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",625.02,3757.9,2.9405,3,4.0698,0.0714,announcement,True,True,False,True
Nella MIA Cucina Rai2,2019-09-12,28,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",625.02,4133.8,2.9405,3,2.7144,0.0357,announcement,True,True,False,True
Nella MIA Cucina Rai2,2019-09-12,7,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1263.32,3412.3,2.9266,3,6.4624,0.1429,announcement,True,True,False,True
Nella MIA Cucina Rai2,2019-09-12,14,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1263.32,3786.3,2.9266,3,4.1664,0.0714,announcement,True,True,False,True
Nella MIA Cucina Rai2,2019-09-12,28,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1263.32,4179.9,2.9266,3,2.7673,0.0357,announcement,True,True,False,True
Nella MIA Cucina Rai2,2019-09-16,7,180,ok,180,"(1, 1, 2)x(1, 0, 1, 7)",628.05,883.7,2.1921,0,2.6889,0.0,occurrence,True,True,False,True
Nella MIA Cucina Rai2,2019-09-16,14,180,ok,180,"(1, 1, 2)x(1, 0, 1, 7)",628.05,1833.0,2.225,12,2.7492,0.0,occurrence,True,True,False,True
Nella MIA Cucina Rai2,2019-09-16,28,180,ok,180,"(1, 1, 2)x(1, 0, 1, 7)",628.05,1861.1,2.225,12,1.8804,0.0,occurrence,True,True,False,True
Nella MIA Cucina Rai2,2019-09-16,7,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1270.79,740.2,2.3493,0,2.11,0.0,occurrence,True,True,False,True
Nella MIA Cucina Rai2,2019-09-16,14,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1270.79,1641.2,2.3493,0,2.3237,0.0,occurrence,True,True,False,True
Nella MIA Cucina Rai2,2019-09-16,28,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1270.79,1538.5,2.3493,0,1.6315,0.0,occurrence,True,True,False,True
TEDxRimini 2019,2019-11-20,7,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",635.61,-395.1,-0.1792,5,0.2285,0.0,announcement,False,False,False,False
TEDxRimini 2019,2019-11-20,14,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",635.61,332.6,1.9063,12,1.3176,0.0,announcement,False,False,False,True
TEDxRimini 2019,2019-11-20,28,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",635.61,1570.9,2.3374,19,1.7477,0.0,announcement,False,False,False,True
TEDxRimini 2019,2019-11-20,7,365,ok,365,"(1, 1, 2)x(1, 0, 1, 7)",1272.74,-443.5,-0.34,5,0.2088,0.0,announcement,False,False,False,False
TEDxRimini 2019,2019-11-20,14,365,ok,365,"(1, 1, 2)x(1, 0, 1, 7)",1272.74,247.6,1.8837,12,1.2186,0.0,announcement,False,False,False,True
TEDxRimini 2019,2019-11-20,28,365,ok,365,"(1, 1, 2)x(1, 0, 1, 7)",1272.74,1400.6,2.235,19,1.6166,0.0,announcement,False,False,False,True
TEDxRimini 2019,2019-12-14,7,180,ok,180,"(2, 1, 2)x(1, 0, 1, 7)",637.42,1703.1,2.3102,5,4.2387,0.0,occurrence,True,False,False,True
TEDxRimini 2019,2019-12-14,14,180,ok,180,"(2, 1, 2)x(1, 0, 1, 7)",637.42,1969.5,2.3102,5,2.955,0.0,occurrence,True,False,False,True
TEDxRimini 2019,2019-12-14,28,180,ok,180,"(2, 1, 2)x(1, 0, 1, 7)",637.42,2827.1,2.3102,5,2.4229,0.0,occurrence,True,False,False,True
TEDxRimini 2019,2019-12-14,7,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1291.41,1717.4,2.3488,5,4.3572,0.0,occurrence,True,False,False,True
TEDxRimini 2019,2019-12-14,14,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1291.41,1986.2,2.3488,5,3.0048,0.0,occurrence,True,False,False,True
TEDxRimini 2019,2019-12-14,28,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1291.41,2849.9,2.3488,5,2.451,0.0,occurrence,True,False,False,True
Novel Pre-Order,2021-03-09,7,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",637.29,3463.5,4.223,6,21.0843,0.2857,announcement,True,False,False,True
Novel Pre-Order,2021-03-09,14,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",637.29,3850.3,4.223,6,12.1044,0.1429,announcement,True,False,False,True
Novel Pre-Order,2021-03-09,28,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",637.29,8279.0,4.8789,22,12.8945,0.1429,announcement,True,False,False,True
Novel Pre-Order,2021-03-09,7,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1298.05,3449.0,4.1165,6,19.4449,0.2857,announcement,True,False,False,True
Novel Pre-Order,2021-03-09,14,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1298.05,3819.0,4.1165,6,11.1041,0.1429,announcement,True,False,False,True
Novel Pre-Order,2021-03-09,28,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1298.05,8216.6,4.7963,22,11.8341,0.1429,announcement,True,False,False,True
Novel Pre-Order,2021-04-20,7,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",655.56,1156.4,2.402,0,4.0954,0.0,occurrence,True,False,False,True
Novel Pre-Order,2021-04-20,14,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",655.56,1811.8,2.402,0,3.4181,0.0,occurrence,True,False,False,True
Novel Pre-Order,2021-04-20,28,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",655.56,2467.5,2.402,0,2.6444,0.0,occurrence,True,False,False,True
Novel Pre-Order,2021-04-20,7,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1303.48,1180.3,2.4085,0,4.3754,0.0,occurrence,True,False,False,True
Novel Pre-Order,2021-04-20,14,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1303.48,1854.2,2.4085,0,3.6236,0.0,occurrence,True,False,False,True
Novel Pre-Order,2021-04-20,28,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1303.48,2549.2,2.4085,0,2.7968,0.0,occurrence,True,False,False,True
Tutte le volte Podcast,2022-01-19,7,180,ok,180,"(2, 1, 2)x(1, 0, 1, 7)",616.62,2021.6,3.2929,1,5.0886,0.1429,announcement,True,False,False,True
Tutte le volte Podcast,2022-01-19,14,180,ok,180,"(2, 1, 2)x(1, 0, 1, 7)",616.62,1808.8,3.2929,1,2.8779,0.0714,announcement,True,False,False,True
Tutte le volte Podcast,2022-01-19,28,180,ok,180,"(2, 1, 2)x(1, 0, 1, 7)",616.62,5315.3,3.2929,1,3.8009,0.1071,announcement,True,False,False,True
Tutte le volte Podcast,2022-01-19,7,365,ok,365,"(2, 1, 2)x(1, 0, 1, 7)",1327.92,2021.9,3.1088,1,5.0924,0.1429,announcement,True,False,False,True
Tutte le volte Podcast,2022-01-19,14,365,ok,365,"(2, 1, 2)x(1, 0, 1, 7)",1327.92,1805.5,3.1088,1,2.8681,0.0714,announcement,True,False,False,True
Tutte le volte Podcast,2022-01-19,28,365,ok,365,"(2, 1, 2)x(1, 0, 1, 7)",1327.92,5301.8,3.1088,1,3.774,0.0357,announcement,True,False,False,True
Solo Tour Launch,2023-07-03,7,180,ok,180,"(1, 1, 2)x(1, 0, 1, 7)",586.99,35.0,1.2007,2,1.0858,0.0,announcement,True,False,False,False
Solo Tour Launch,2023-07-03,14,180,ok,180,"(1, 1, 2)x(1, 0, 1, 7)",586.99,14.5,1.4286,8,1.0174,0.0,announcement,True,False,False,False
Solo Tour Launch,2023-07-03,28,180,ok,180,"(1, 1, 2)x(1, 0, 1, 7)",586.99,4495.1,3.8653,18,3.7562,0.0357,announcement,True,False,False,True
Solo Tour Launch,2023-07-03,7,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1257.65,3.2,1.3094,1,1.0073,0.0,announcement,True,False,False,False
Solo Tour Launch,2023-07-03,14,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1257.65,-42.8,1.3094,1,0.9519,0.0,announcement,True,False,False,False
Solo Tour Launch,2023-07-03,28,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1257.65,4339.0,3.681,18,3.4281,0.0357,announcement,True,False,False,True
Solo Tour Launch,2023-04-15,7,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",596.53,603.8,2.186,0,3.0597,0.0,occurrence,True,False,False,True
Solo Tour Launch,2023-04-15,14,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",596.53,1233.9,2.2664,13,3.0528,0.0,occurrence,True,False,False,True
Solo Tour Launch,2023-04-15,28,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",596.53,1492.9,2.2664,13,2.2255,0.0,occurrence,True,False,False,True
Solo Tour Launch,2023-04-15,7,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1274.22,645.9,2.3221,0,3.5718,0.0,occurrence,True,False,False,True
Solo Tour Launch,2023-04-15,14,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1274.22,1229.6,2.3221,0,3.031,0.0,occurrence,True,False,False,True
Solo Tour Launch,2023-04-15,28,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1274.22,1489.9,2.3221,0,2.2201,0.0,occurrence,True,False,False,True
Avanguardia Pura Tour,2024-06-14,7,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",619.82,662.6,2.0151,3,3.2053,0.0,announcement,True,False,False,True
Avanguardia Pura Tour,2024-06-14,14,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",619.82,1237.3,2.5926,7,3.1678,0.0,announcement,True,False,False,True
Avanguardia Pura Tour,2024-06-14,28,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",619.82,1757.8,2.5926,7,2.5889,0.0,announcement,True,False,False,True
Avanguardia Pura Tour,2024-06-14,7,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1264.45,646.6,1.9165,3,3.0434,0.0,announcement,True,False,False,True
Avanguardia Pura Tour,2024-06-14,14,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1264.45,1216.9,2.6147,7,3.0585,0.0,announcement,True,False,False,True
Avanguardia Pura Tour,2024-06-14,28,365,ok,365,"(0, 1, 2)x(1, 0, 1, 7)",1264.45,1718.5,2.6147,7,2.5002,0.0,announcement,True,False,False,True
Avanguardia Pura Tour,2025-01-12,7,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",574.66,72.7,1.5083,1,1.5621,0.0,occurrence,True,False,False,True
Avanguardia Pura Tour,2025-01-12,14,180,ok,180,"(0, 1, 2)x(1, 0, 1, 7)",574.66,185.6,2.2358,8,1.7154,0.0,occurrence,True,False,False,True
