post_id,topic,confidence
17954242423915707,Culture,0.95
18192960820200317,Beauty & Fashion,0.85
18306126061064282,Beauty & Fashion,0.80
18144162451263991,Beauty & Fashion,0.75
17958679972961860,Relatable Comedy,0.95
17933998577515403,Culture,0.80
18156376462252363,Cooking,0.75
17857619978801910,Relatable Comedy,0.95
17851311593800476,Private Life,0.95
18244093069188933,Private Life,0.95
17937042170269473,Travel,0.85
17936830265273325,Private Life,0.95
18064391443325317,Cooking,0.80
17956660277075734,Relatable Comedy,0.95
17967645265876491,Community,0.75
17938044437379948,Culture,0.85
17976950674685515,Community,0.80
17843152592859927,Culture,0.80
17892708920635322,Food,0.75
17958198239038003,Games,0.95
17934647684333740,Travel,0.85
18166335295246993,Community,0.80
17907070319644375,Private Life,0.90
17938722839417074,Beauty & Fashion,0.85
17964075658943090,Games,0.75
18048866875362785,Private Life,0.95
17944533872471647,Travel,0.85
17883455996684168,Community,0.80
17930375822411056,Private Life,0.95
17938318493421882,Theatre,0.85
18261073645096086,Travel,0.95
17906702183589970,Relatable Comedy,0.95
17955471029166559,Food,0.80
17909184422649724,Relatable Comedy,0.95
17961904516928321,Relatable Comedy,0.95
17977673323751324,Beauty & Fashion,0.95
17996589229512549,Games,0.95
17969829124931866,Cooking,0.80
17984921752658776,Other,0.55
17930178548470834,Relatable Comedy,0.95
18335316919032525,Reflections,0.75
17984958916711642,Food,0.80
17949413225151740,Beauty & Fashion,0.95
17949275993507419,Relatable Comedy,0.95
17868611210795992,Games,0.95
18025337419431995,Games,0.95
18199877311175430,Culture,0.85
17888185574681633,Private Life,0.95
17880272774773790,Private Life,0.95
17910323399656223,Cinema & TV,0.60
18062761657345780,Beauty & Fashion,0.95
17944460249424185,Relatable Comedy,0.95
17964995840013320,Cinema & TV,0.80
17972975377940040,Beauty & Fashion,0.85
17944908716426250,Private Life,0.95
17992615807614736,Relatable Comedy,0.95
17958264929065912,Cinema & TV,0.75
17965490872947431,Beauty & Fashion,0.75
18063792412351257,Relatable Comedy,0.95
17996337136536862,Community,0.80
17957370809324034,Food,0.60
17967051875087165,Private Life,0.95
17936113691460384,Relatable Comedy,0.95
17973294124855434,Relatable Comedy,0.95
