horizon_months,C1,C2,C3,C4,Inactive
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,0.8423919199546913
2,0.9976584087047556,0.9605888990898456,0.9615112049422735,0.9638942277387063,0.7208370229546726
3,0.9805428864969474,0.9040885082708231,0.9056981858648273,0.909881781717688,0.6245485793601995
4,0.9483463146943002,0.8412947545017426,0.8431679133996534,0.8480345912213674,0.5465283205922924
5,0.9045819009325229,0.777523251007678,0.7793345634869916,0.7839943872928983,0.48207304685327823
6,0.8533164182865025,0.7154218167416959,0.7169871389518697,0.7209151846918614,0.42793001059302593
7,0.7980430724148123,0.656298953821297,0.6575449746327926,0.6605184334273844,0.38179608804889487
8,0.741420836293945,0.600765726396319,0.60168894689791,0.6036853607531123,0.3420076008506311
9,0.6853328192130551,0.5490559119560754,0.549689765641076,0.5507996473739383,0.3073409864306139
10,0.6310369048869648,0.5011923942207711,0.5015854061397789,0.5019507155701635,0.276880881250555
11,0.5793211570428924,0.45707791365813955,0.45728089829841734,0.45705663177591305,0.249930839014746
12,0.5306352088934839,0.41654710190153477,0.4166065741973257,0.41593931510714954,0.22595188209540984
13,0.4851923073671941,0.37939769563744297,0.37935312743046123,0.37837078885694875,0.20451966923394826
14,0.443045059851359,0.34540991765523954,0.3452931692899023,0.3441015461929655,0.1852943390564652
15,0.40414012629644547,0.3143587563061174,0.31419461276412264,0.3128777410198904,0.16799909680107705
16,0.36835695898911325,0.2860217770880704,0.28582895060094193,0.2844513541481397,0.15240488880303926
17,0.33553482501837795,0.26018402128334406,0.2599762667583009,0.2585859390154097,0.1383193460663339
18,0.30549138532769493,0.23664096104731813,0.2364281259885037,0.23505959714284308,0.12557873883157
19,0.27803526743348506,0.21520014278041122,0.21498907555338154,0.21366623476984525,0.11404206565558483
20,0.2529744064697479,0.19568194408246753,0.19547724029800018,0.19421577187621109,0.10358666321878451
21,0.23012142927665868,0.17791973655690707,0.17772433144223065,0.17653373144007756,0.09410490533018523
22,0.20929698888910375,0.16175965759033428,0.16157528432233892,0.16046048033149218,0.0855016867244136
23,0.19033169111999593,0.1470601328516996,0.14688767025147897,0.14585029249652837,0.0776924762538348
24,0.1730670647314232,0.133691248266264,0.13353098032661437,0.1325703402570917,0.0706017865763593
25,0.1573558914002624,0.1215340398330701,0.12138584673263908,0.12049967795382688,0.06416195142037606
26,0.14306211589453421,0.11047974809471617,0.11034324497474879,0.10952825560684476,0.058312132519627524
27,0.13006048928233416,0.10042906877174895,0.10030370528034926,0.09955598345347605,0.05299750021925853
28,0.11823605043241225,0.09129142025252768,0.09117655098844657,0.0904918576950372,0.04816854726358122
29,0.10748351768752129,0.08298424101380031,0.0828791746163694,0.0822531513034499,0.043780506281157705
30,0.09770663923452927,0.07543232472822958,0.07533635745036149,0.07476466984691166,0.039792849313594725
31,0.08881753440426177,0.06856719713832549,0.06847963524915224,0.06795807004730225,0.03616885332551567
32,0.0807360468175028,0.062326536270046695,0.06224671049238295,0.06177123757019409,0.03287521964179785
33,0.07338912247345908,0.05665363588395678,0.056580910210191626,0.0561477199782735,0.029881738146976256
34,0.06671022051007203,0.051496910972890775,0.05143068755995972,0.05103621059912322,0.027160989176585604
35,0.06063876071634133,0.046809443437278,0.04674916480603897,0.046390079108748594,0.024688077560875654
36,0.055119609427230376,0.04254856567715215,0.04249371509283484,0.04216694481224792,0.02244039440986778
