horizon_months,C1,C2,C3,C4,Inactive
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,0.824793909990928
2,0.9954459664695184,0.955470960800959,0.9537075986856008,0.962782067402399,0.6925168710265592
3,0.9745089646113998,0.8928804069062248,0.8887268851158379,0.9069598893962874,0.5898059530172394
4,0.9377185143454094,0.8244966082462667,0.8180305757810271,0.8428941088265598,0.5081422388579869
5,0.8892416104041482,0.7560642088158518,0.7477106743681385,0.776451562898296,0.44188071280982066
6,0.8335633005282501,0.6902729501723701,0.6805717490205088,0.7109614706484181,0.3871623517063467
7,0.7744066008703695,0.628343765637608,0.6178199917906102,0.6482748367185489,0.3412821928096038
8,0.7145313297107875,0.5707678731843785,0.559871454435368,0.5893616008062368,0.3023044586578749
9,0.6558405593202393,0.517661114275116,0.5067473998991736,0.5346597629522924,0.26881843507058156
10,0.5995649523843334,0.4689406418742855,0.45827269755540423,0.4842857951687509,0.2397785269677396
11,0.5464402021941339,0.4244174281264519,0.41417814358244864,0.43816436299351136,0.21439685599949065
12,0.49685221321043727,0.38384733280487415,0.37415462113189757,0.3961094768267237,0.19206981278240687
13,0.45094746400964847,0.34696070927534084,0.337882348158945,0.35787559643143596,0.1723271411212436
14,0.4087135614580797,0.3134802078005102,0.30504679634663023,0.3231897701183183,0.15479626668761004
15,0.37003653642945156,0.28313167768933867,0.27534723771194103,0.2917716424861547,0.1391770838104921
16,0.33474082952327044,0.2556508111865836,0.24850109212412985,0.2633456447955098,0.12522398900702336
17,0.3026167407002367,0.2307870525752781,0.22424582977086316,0.2376481374914523,0.11273297376644809
18,0.2734389565074443,0.20830570789219705,0.20233943340219251,0.21443130277622946,0.1015322707321944
19,0.246978804381772,0.18798885978422775,0.1825600145913413,0.19346496205479735,0.0914755089599113
20,0.2230121401016948,0.16963549249132537,0.16470494459547025,0.17453708807577495,0.08243665011837409
21,0.20132422317011467,0.15306110414981355,0.14858972264667192,0.15745351598883162,0.07430619585869624
22,0.18171253509587548,0.13809699800858666,0.13404672073632184,0.14203718242639773,0.06698830820559842
23,0.16398820946415082,0.12458938510264927,0.12092389171206575,0.12812710596701182,0.06039859052313756
24,0.14797653974220393,0.11239838951314374,0.10908349429308506,0.11557724579818551,0.05446235050043702
25,0.13351688763225544,0.10139701807681567,0.0984008672169373,0.10425532486413625,0.049113218380816726
26,0.12046221425956394,0.09147013570126172,0.08876327085512936,0.09404167053585433,0.04429203001475113
27,0.10867838613050107,0.0825134728372755,0.08006880562445928,0.08482810408641395,0.039945909899437027
28,0.09804335871543013,0.07443268142443527,0.07222541070335764,0.07651689613625323,0.03602750740993865
29,0.08844630638712436,0.06714244852147866,0.06514994285774689,0.06901979617878184,0.0324943521853337
30,0.07978674381187678,0.0605656719656299,0.05876733288196512,0.06225713858964854,0.029308303684432713
31,0.07197366760051072,0.0546326991295526,0.053009815797630866,0.05615702401861877,0.026435076372032018
32,0.06492473586720171,0.049280627695252543,0.047816230212530786,0.05065457299888343,0.023843826610074004
33,0.05856549576153647,0.04445266600576858,0.04313138191077659,0.04569124747801068,0.021506790649234442
34,0.05282866394395669,0.04009754974740687,0.03890546668121886,0.04121423544180014,0.0193989655244442
35,0.04765346160351791,0.036169011285842156,0.03509354749628735,0.03717589364523921,0.017497826418740536
36,0.042985003435908276,0.03262529780659229,0.03165508136233053,0.03353324353790843,0.015783075360554122
