step_from,step_to,rowTV_vs_pooled
2023-01,2023-02,0.06721983422778101
2023-02,2023-03,0.04636576167359044
2023-03,2023-04,0.06801374396822266
2023-04,2023-05,0.06233704708379986
2023-05,2023-06,0.04225296601481954
2023-06,2023-07,0.10254991905368557
2023-07,2023-08,0.06234230816471789
2023-08,2023-09,0.029972990740389907
2023-09,2023-10,0.0382709628526759
2023-10,2023-11,0.06609835265785005
2023-11,2023-12,0.07549455069985339
2023-12,2024-01,0.0176232643498924
2024-01,2024-02,0.011597618224120506
2024-02,2024-03,0.043902001033238616
2024-03,2024-04,0.09011880667164042
2024-04,2024-05,0.03358122777873716
2024-05,2024-06,0.02913128352743185
2024-06,2024-07,0.0709625153223084
2024-07,2024-08,0.05790058431912724
2024-08,2024-09,0.035504945043406747
2024-09,2024-10,0.02301066282948929
2024-10,2024-11,0.06287908224379274
2024-11,2024-12,0.02672525204188994
2024-12,2025-01,0.027724108268116127
2025-01,2025-02,0.038850958021023424
2025-02,2025-03,0.02058615864553819
2025-03,2025-04,0.01574348194230976
2025-04,2025-05,0.008264906565409019
2025-05,2025-06,0.035102040283041966
2025-06,2025-07,0.027289301828251022
2025-07,2025-08,0.055529734989231354
2025-08,2025-09,0.021113376486855937
2025-09,2025-10,0.027593294593421334
2025-10,2025-11,0.026331458622983916
2025-11,2025-12,0.038478385160761526
2025-12,2026-01,0.03699233903284255
2026-01,2026-02,0.014837009102102967
2026-02,2026-03,0.021250697978657626
