inactive_month,return_hazard,at_risk
1,0.07164763267809679,34237
2,0.058946353999357534,31130
3,0.05944783329219703,28361
4,0.060967302452316074,26424
5,0.058747820310553846,24086
6,0.05220773278425989,21855
7,0.0556215360253365,20208
8,0.046318479476122026,18783
9,0.03488174238557087,17631
10,0.037109723461195364,16815
11,0.03381763527054108,15968
12,0.03235564908588715,15206
13,0.033974226448900836,14511
14,0.03161592505854801,13664
15,0.035780525502318396,12940
16,0.02992190711056309,12165
17,0.02666424814075821,11026
18,0.035508167856793504,10223
19,0.03083975828297562,9598
20,0.029257224743252926,8374
21,0.02715894868585732,7990
22,0.02601734489659773,7495
23,0.026118876182408584,7083
24,0.025691400936980503,6617
