media_id,creation_date,caption,comments_count,like_count,views,shares,comments_downloaded,timestamp
7139846435318549766,2022-09-05,BENTORNATA A CASA❣️,109,45300,521300,319,1,2022-09-05
7140665802436463878,2022-09-07,E di nuovo tempo di Zucca! ,95,22100,330200,231,1,2022-09-07
7142831623606684933,2022-09-13,#perte #fotofunny #cie  perte #fotofunny #cie,37,8347,134100,36,1,2022-09-13
7143242610579131654,2022-09-14,Climbing #perte perte,20,4807,59700,41,1,2022-09-14
7146224398683409670,2022-09-22,camihawke's short video with ♬ suono originale,28,7865,78000,42,1,2022-09-22
7146563371653975302,2022-09-23,camihawke's short video with ♬ suono originale,44,4856,66900,106,1,2022-09-23
7148169225864039685,2022-09-27,Delirio serale,14,1844,37100,5,1,2022-09-27
7148467812292480261,2022-09-28,A caso,23,4685,70000,29,1,2022-09-28
7151732077291998469,2022-10-07,#asmr #asmrsounds #asmrvideo asmr #asmrsounds #asmrvideo,9,2413,65900,2,1,2022-10-07
7153552906153692422,2022-10-12,#unboxing #memories #perte unboxing #memories #perte,100,8825,124300,123,1,2022-10-12
7161492433354640646,2022-11-02,Non so giocare,93,13200,222000,56,1,2022-11-02
7161496047368359173,2022-11-02,Non gioco più,122,51600,565300,152,1,2022-11-02
7161503159469313285,2022-11-02,camihawke's short video with ♬ suono originale,57,17200,280400,47,1,2022-11-02
7163649531660209414,2022-11-08,camihawke's short video with ♬ suono originale,44,15600,173500,103,1,2022-11-08
7164035469775326470,2022-11-09,camihawke's short video with ♬ original sound,15,3246,122600,7,1,2022-11-09
7164078116695215366,2022-11-09,camihawke's short video with ♬ suono originale,64,37700,642200,54,1,2022-11-09
7165113426543480069,2022-11-12,camihawke's short video with ♬ suono originale,16,6862,84300,18,1,2022-11-12
7166267315544247558,2022-11-15,"Trovi tutte le puntate sul canale Youtube di Il mondo di Aletheia. See you there, Luthien. #dungeonsanddragons #game #wildmagicsorcerer dungeonsanddragons #game #wildmagicsorcerer",9,5547,71000,99,1,2022-11-15
7166301209064639750,2022-11-15,camihawke's short video with ♬ suono originale,12,3185,48800,33,1,2022-11-15
7167059292879621381,2022-11-17,camihawke's short video with ♬ suono originale,115,20000,268100,985,1,2022-11-17
7168890867657346310,2022-11-22,camihawke's short video with ♬ suono originale,28400,4300000,26200000,138000,1,2022-11-22
7172129184188271878,2022-12-01,Ig: camihawke ,4,3483,81900,24,1,2022-12-01
7172537514559884550,2022-12-02,camihawke's short video with ♬ suono originale,10,9024,198300,26,1,2022-12-02
7172867327640276229,2022-12-03,#perte #albertoangela perte #albertoangela,41,14100,143200,314,1,2022-12-03
7173680062477176069,2022-12-05,https://wemakeup.it/lCP @We Make-up  ,7,976,30200,12,1,2022-12-05
7174339797501119749,2022-12-07,#untouchable untouchable,4,2354,56000,8,1,2022-12-07
7175199814504779013,2022-12-09,#perte #piccolairisperte #piccolairis,14,6042,85000,6,1,2022-12-09
7175574052696853765,2022-12-10,#bts #dynamite  bts #dynamite,43,11500,154500,70,1,2022-12-10
7177289324075961606,2022-12-15,#wednesday #dancewithyourhands #dancedancedance #perte #ladygaga wednesday #dancewithyourhands #dancedancedance #perte #ladygaga,96,29300,250300,708,1,2022-12-15
7178093614172605702,2022-12-17,camihawke's short video with ♬ suono originale,27,3934,51500,29,1,2022-12-17
7178574870417083653,2022-12-18,camihawke's short video with ♬ suono originale,12,2575,52900,12,1,2022-12-18
7179190690578976006,2022-12-20,Backstage,41,32000,289400,336,1,2022-12-20
7179972684963499270,2022-12-22,#perte #herewithme perte #herewithme,18,4071,75100,22,1,2022-12-22
7182903707674168582,2022-12-30,#perte #tr perte #tr,73,25200,316300,234,1,2022-12-30
7183342763746888966,2022-12-31,#boattrend boattrend,10,2185,38700,17,1,2022-12-31
7184374225891757318,2023-01-03,#goodintentions #2023 goodintentions #2023,3,1767,36300,11,1,2023-01-03
7185127971294858501,2023-01-05,camihawke's short video with ♬ suono originale,16,8926,126500,20,1,2023-01-05
7185172701441527046,2023-01-05,Chiaro? ,48,14900,150200,268,1,2023-01-05
7185893416998276358,2023-01-07,camihawke's short video with ♬ suono originale,32,7722,75000,11,1,2023-01-07
7186245278691888390,2023-01-08,camihawke's short video with ♬ suono originale,21,6590,76800,103,1,2023-01-08
7186992248570137862,2023-01-10,camihawke's short video with ♬ suono originale,2,1832,33000,3,1,2023-01-10
7187392438179204358,2023-01-11,Ig camihawke,7,1518,39300,2,1,2023-01-11
7187407742494084358,2023-01-11,camihawke's short video with ♬ suono originale,280,22300,314400,275,1,2023-01-11
7191100704914738438,2023-01-21,#look #transitionlook #glamour #glamour look #transitionlook #glamour #glamour,23,3752,45800,13,1,2023-01-21
7191849490045734149,2023-01-23,Ig camihawke ,21,15000,322400,53,1,2023-01-23
7192933283288632582,2023-01-26,Preparo hennè Tutti i passatfi: Ig camihawke ,45,4766,158100,14,1,2023-01-26
7194809880312614149,2023-01-31,Un appello. ,94,35100,375900,329,1,2023-01-31
7195229732789685509,2023-02-01,Ig camihawke,3,2149,32600,7,1,2023-02-01
7195603553686244613,2023-02-02,camihawke's short video with ♬ Monkeys Spinning Monkeys,9,1829,38300,25,1,2023-02-02
