user_id,username,unique_clusters,first_cluster,last_cluster,num_transitions,most_common_cluster,active_months,total_months
761948056783876.0,kettypatania,2,C3,Inactive,1,Inactive,4,39
791272976929644.0,aupunk22,4,Not yet active,Inactive,3,Inactive,4,39
793664317118707.0,marti_na88,4,Inactive,Inactive,18,C3,27,39
803645345571539.0,lau_marcus_,4,Inactive,Inactive,9,C1,23,39
894695726730091.0,tex_elena,3,C3,Inactive,7,Inactive,9,39
913913864683416.0,manuela_appendino,2,C3,Inactive,1,Inactive,1,39
914183344727068.0,mery22m,2,Inactive,Inactive,2,Inactive,4,39
914279821204293.0,_.alba.z._,3,C3,C3,10,Inactive,15,39
914371544715508.0,annabizzarra,3,Inactive,Inactive,6,Inactive,8,39
936211136008860.0,shivatonks,5,C3,Inactive,13,C1,34,39
940953351665487.0,federica.marzocchi,4,Not yet active,Inactive,7,Inactive,12,39
945234654681729.0,marziazerbetto,3,Not yet active,Inactive,2,Inactive,8,39
947692097799691.0,jess_xamin,5,Not yet active,Inactive,5,Inactive,5,39
950399423996759.0,sandrapanerai,1,Inactive,Inactive,0,Inactive,0,39
952623320539308.0,martinalamartins,4,Inactive,Inactive,6,Inactive,10,39
954059950488679.0,chloe_gg,4,C3,Inactive,7,Inactive,14,39
957286146983908.0,eligallo_,5,Not yet active,Inactive,5,Inactive,5,39
965463365997879.0,denisezanetti83,1,Inactive,Inactive,0,Inactive,0,39
1219128886870237.0,katiakatia78,3,Not yet active,C3,3,Inactive,6,39
1254793953471810.0,_may_chiara,3,Not yet active,Inactive,2,Inactive,4,39
1259710492243881.0,vanessa_dirienzo,4,Not yet active,Inactive,4,Not yet active,6,39
1260886675514125.0,margra80,4,Inactive,Inactive,10,Inactive,17,39
1281432017530621.0,hellamombrini,3,C4,Inactive,6,Inactive,11,39
1307893844523474.0,veronicanselmo,2,C3,C3,2,Inactive,9,39
1319168006914616.0,v4viennetta__,3,C3,Inactive,5,Inactive,8,39
1424271035433365.0,semostanchedecorrere_,1,Inactive,Inactive,0,Inactive,0,39
1456450662681772.0,daria_vaccari,2,Inactive,Inactive,2,Inactive,4,39
1461988158891093.0,radioactive89rose,2,Inactive,Inactive,2,Inactive,4,39
1464189885439271.0,4joyofficialpage,3,C1,Inactive,2,Inactive,12,39
1601735451041917.0,m_crem_,5,Not yet active,C3,5,Inactive,8,39
1610290503579911.0,giadacelli,4,Not yet active,Inactive,3,Not yet active,8,39
1665724127782127.0,vale.cavaz,3,Not yet active,C3,7,Inactive,14,39
1689407162055547.0,giulianamason,2,Not yet active,C1,1,Not yet active,4,39
1694432821541056.0,la_gigliola,4,Not yet active,C3,9,Inactive,19,39
1715322852966581.0,im.luca24,2,C3,Inactive,1,Inactive,1,39
1729248191785440.0,matteodeganiph,3,Not yet active,C3,3,Not yet active,6,39
1841842983158780.8,sarah_battisti,3,Not yet active,Inactive,2,Not yet active,4,39
1918445642090110.0,aurogenovese01,2,Inactive,Inactive,2,Inactive,4,39
1927971471178271.2,ellemicis,3,Not yet active,C3,3,Inactive,5,39
1957636478186132.0,giuli88mo,5,Not yet active,Inactive,6,Inactive,11,39
2020314225190392.8,ntina11_,2,C4,Inactive,1,Inactive,1,39
2024843091796308.0,kira0alessia,3,Not yet active,Inactive,4,Inactive,8,39
2050060165860403.2,mariaacampanella,2,Inactive,Inactive,2,Inactive,4,39
2123167988256350.0,franci_caravella,3,Not yet active,Inactive,6,Inactive,12,39
2135676260541094.0,carolinabado91,4,Not yet active,Inactive,6,Inactive,10,39
2374877582956282.0,hiraesh,4,Not yet active,C1,8,Inactive,15,39
2688745958170535.0,beatricedanyelli,2,Inactive,Inactive,2,Inactive,4,39
5172759089614885.0,esponenzialmente_tezla,5,Not yet active,C3,12,Inactive,20,39
2.527339536567069e+16,fallinbooks._,1,Inactive,Inactive,0,Inactive,0,39
2.6475205105408064e+16,claudiaalfani,4,Not yet active,Inactive,5,Inactive,8,39
